2018	7036848
2017	7084571
2016	7131494
2015	7177396
2011	7364570
2010	7404590
2005	7683763
2001	7932984
2000	7997787
1995	8379180
1992	8487317
1990	8841371
1985	8975291
1980	8878775
1975	8738361
1970	8507476
1965	8222470
1960	7885525
1956	7613709
1955	7561405
1946	7029349
1934	6077939
1926	5528741
1920	4846971
1910	4337513
1905	4035575
1900	3744283
1892	3310713
1887	3154375  
