 variables = "x", "y"
 ZONE t="Boundary.2" I =         162 , DATAPACKING=POINT
   9.8890618444546501       -1.3128664251433457     
   9.9342581479703735      -0.92548051441283874     
   9.9642880597149368      -0.53662805727207041     
   9.9791058560947388      -0.14690120553832028     
   9.9786889795320146       0.24310655684051113     
   9.9630380727705443       0.63280131752874902     
   9.9321769778462485        1.0215896402020370     
   9.8861526997288145        1.4088794682255632     
   9.8250353346868113        1.7940810262353777     
   9.7489179634875516        2.1766077182501338     
   9.6579165095942017        2.5558770209457071     
   9.5521695625753082        2.9313113707319691     
   9.4318381669981477        3.3023390432815365     
   9.2971055771266364        3.6683950241714083     
   9.1481769777964619        4.0289218693097961     
   8.9852791718956269        4.3833705538404297     
   8.8086602349245666        4.7312013082299869     
   8.6185891371623065        5.0718844402647676     
   8.4153553340159313        5.4049011417064632     
   8.1992683251758294        5.7297442783774768     
   7.9706571832490702        6.0459191624716366     
   7.7298700525896438        6.3529443059165791     
   7.4772736190872688        6.6503521536361916     
   7.2132525517249002        6.9376897956013419     
   6.9382089167533172        7.2145196565802525     
   6.6525615653764421        7.4804201625386240     
   6.3567454958799088        7.7349863826768548     
   6.0512111911737358        7.9778306461228121     
   5.7364239327589113        8.2085831323437670     
   5.4128630921627039        8.4268924343749294     
   5.0810214009201280        8.6324260940111479     
   4.7414042002165848        8.8248711081402860     
   4.3945286713309164        9.0039344054526484     
   4.0409230480532745        9.1693432927968992     
   3.6811258122755501        9.3208458705029233     
   3.3156848739813070        9.4582114160391111     
   2.9451567368803753        9.5812307354203963     
   2.5701056509633085        9.6897164818294179     
   2.1911027532616409        9.7835034409671309     
   1.8087251981259285        9.8624487826974985     
   1.4235552783423109        9.9264322786023964     
   1.0361795384296195        9.9753564851156593     
  0.64718788146407391        10.009146891956272     
  0.25717267079284145        10.027752035636079     
 -0.13327217199625302        10.031143577866912     
 -0.52355207147460159        10.019316348748836     
 -0.91307270376613603        9.9922883546734163     
  -1.3012409015566251        9.9501007509289039     
  -1.6874655573385260        9.8928177790505050     
  -2.0711585235175676        9.8205266690095492     
  -2.4517355080116321        9.7333375063906988     
  -2.8286169639768284        9.6313830647608309     
  -3.2012289723066241        9.5148186034817925     
  -3.5690041155612633        9.3838216312786233     
  -3.9313823419952962        9.2385916359206277     
  -4.2878118183698923        9.0793497804269343     
