 variables = "x", "y"
 ZONE t="Boundary.1" I =         162 , DATAPACKING=POINT
  0.48611111111111110        0.0000000000000000     
  0.48555198566487179        9.7333018372470210E-005
  0.48394721674793706        3.6753627370012004E-004
  0.48132703167248780        7.9142954119061323E-004
  0.47770351467185318        1.3522310966462879E-003
  0.47308487107381886        2.0330685302721520E-003
  0.46747882794512680        2.8165032763013574E-003
  0.46089408386136854        3.6844358664418148E-003
  0.45334108166308890        4.6181533282111864E-003
  0.44483247310457003        5.5984472872631181E-003
  0.43538341515432594        6.6057736924186542E-003
  0.42501175993184326        7.6204393180433492E-003
  0.41373816887123566        8.6228058133502716E-003
  0.40158616752716852        9.5935045195729481E-003
  0.38858215057329176        1.0513656433830045E-002
  0.37475534310794151        1.1365092302704223E-002
  0.36013772268129679        1.2130568205069284E-002
  0.34476390568315279        1.2793972287896600E-002
  0.32867100146300288        1.3340518627984731E-002
  0.31189843756227459        1.3756924544714586E-002
  0.29448775958506290        1.4031568100042201E-002
  0.27648240943248648        1.4154622994666946E-002
  0.25792748582075747        1.4118168597700242E-002
  0.23886949115704906        1.3916273419450580E-002
  0.21935606893613396        1.3545050937654691E-002
  0.19943573583017959        1.3002687299003928E-002
  0.17915761256736709        1.2289441021740226E-002
  0.15857115753173798        1.1407615403398234E-002
  0.13772590677158897        1.0361504873864592E-002
  0.11667122378568164        9.1573170133637510E-003
   9.5456062077360709E-002   7.8030723661646839E-003
   7.4128743040431086E-002   6.3084845153420100E-003
   5.2736751282502221E-002   4.6848231367844287E-003
   3.1326549016909330E-002   2.9447629201616362E-003
   9.9434106783224448E-003   1.1022213322734857E-003
  -1.1368721546473726E-002  -8.2781179161341058E-004
  -3.2567361020148282E-002  -2.8294499034737654E-003
  -5.3611578940490706E-002  -4.8860878432713710E-003
  -7.4462086123482291E-002  -6.9805797582718808E-003
  -9.5081295110289649E-002  -9.0954144320015608E-003
 -0.11543336368631654       -1.1212885862836921E-002
 -0.13548422110911199       -1.3315257201993488E-002
 -0.15520157849845126       -1.5384916441455685E-002
 -0.17455492494837799       -1.7404522525265229E-002
 -0.19351551098104774       -1.9357140834700103E-002
 -0.21205632098030761       -2.1226367262634153E-002
 -0.23015203622419328       -2.2996440339444389E-002
 -0.24777899008545035       -2.4652341098153389E-002
 -0.26491511689337544       -2.6179880567101483E-002
 -0.28153989585423278       -2.7565774952493641E-002
 -0.29763429131646396       -2.8797708719599795E-002
 -0.31318069054578507       -2.9864385899920191E-002
 -0.32816284004845542       -3.0755570042383509E-002
 -0.34256578135256299       -3.1462113290080661E-002
 -0.35637578703075623       -3.1975975100559724E-002
 -0.36958029762685768       -3.2290231137549245E-002
 -0.38216786003673370       -3.2399072844761012E-002
 -0.39412806779452875       -3.2297798166917600E-002
 -0.40545150363397459       -3.1982793806807790E-002
 -0.41612968463833672       -3.1451509295637649E-002
 -0.42615501027327890       -3.0702423000704138E-002
 -0.43552071363375988       -2.9734999990457131E-002
 -0.44422081636167887       -2.8549641411558323E-002
 -0.45225008796107369       -2.7147624696150643E-002
 -0.45960401074755558       -2.5531033511694938E-002
 -0.46627875257862467       -2.3702675928224410E-002
 -0.47227115108094464       -2.1665988945601757E-002
 -0.47757871570136062       -1.9424927676809482E-002
 -0.48219965799155895       -1.6983839050881071E-002
 -0.48613296612320217       -1.4347324886652189E-002
 -0.48937854483619903       -1.1520111166003421E-002
 -0.49193743954386188       -8.5069631385409281E-003
 -0.49381213682472902       -5.3127156129942612E-003
 -0.49500686748539713       -1.9424952254069520E-003
 -0.49552776138335053        1.5978571811672952E-003
 -0.49538271646001752        5.3012992796146637E-003
 -0.49458100061419552        9.1592509645238782E-003
 -0.49313276196454620        1.3161527398312306E-002
 -0.49104862144014466        1.7296493236320095E-002
 -0.48833941324634794        2.1551318274028824E-002
 -0.48501605353473953        2.5912242387888938E-002
 -0.48108949244584170        3.0364808027925228E-002
 -0.47657071193312101        3.4894051136194239E-002
 -0.47147074549868606        3.9484654942254158E-002
 -0.46580070658446487        4.4121074430277643E-002
 -0.45957181883713838        4.8787638703514810E-002
 -0.45279544501756896        5.3468636913855228E-002
 -0.44548311316489814        5.8148391922748836E-002
 -0.43764653953900062        6.2811324680136491E-002
 -0.42929764829850631        6.7442011449595843E-002
 -0.42044858806296015        7.2025235402383050E-002
 -0.41111174558001873        7.6546033680333136E-002
 -0.40129975673459489        8.0989740732338417E-002
 -0.39102551512798062        8.5342028521535884E-002
 -0.38030217843671604        8.9588944052863398E-002
 -0.36914317274064640        9.3716944564577159E-002
 -0.35756219499050723        9.7712930649964211E-002
 -0.34557321376877087       0.10156427751822865     
 -0.33319046848363515       0.10525886456051743     
 -0.32042846712482154       0.10878510335422735     
 -0.30730198270095538       0.11213196421330758     
 -0.29382604847138499       0.11528900137225849     
 -0.28001595208001512       0.11824637687553913     
 -0.26588722869482478       0.12099488323111984     
 -0.25145565325393360       0.12352596487621836     
 -0.23673723191719934       0.12583173849428853     
 -0.22174819282120148       0.12790501221469694     
 -0.20650497623497593       0.12973930371988132     
 -0.19102422421389137       0.13132885727890820     
 -0.17532276984952672       0.13266865972103678     
 -0.15941762621426905       0.13375445535796707     
 -0.14332597510052489       0.13458275985878637     
 -0.12706515565588289       0.13515087307709514     
 -0.11065265301726133       0.13545689082527845     
  -9.4106087048964338E-002  0.13549971558629315     
  -7.7443201291615762E-002  0.13527906614858537     
  -6.0681852231131393E-002  0.13479548614469405     
  -4.3839998999151995E-002  0.13405035146871552     
  -2.6935693618682484E-002  0.13304587654193703     
  -9.9870719109884827E-003  0.13178511938954984     
   6.9876548179376797E-003  0.13027198548430829     
   2.3970207190906177E-002  0.12851123030523140     
   4.0942244150699594E-002  0.12650846055082571     
   5.7885368204887946E-002  0.12427013393677971     
   7.4781129399073734E-002  0.12180355749752045     
   9.1611027892636282E-002  0.11911688429934951     
  0.10835651501100135       0.11621910845999493     
  0.12499899264924287       0.11312005835525549     
  0.14151981090360935       0.10983038787789709     
  0.15790026381057165       0.10636156559703379     
  0.17412158307744310       0.10272586164787595     
  0.19016492969475868        9.8936332161926946E-002
  0.20601138332871280        9.5006801026547155E-002
  0.22164192940230787        9.0951838740316482E-002
  0.23703744378673786        8.6786738107054770E-002
  0.25217867504020425        8.2527486486882295E-002
  0.26704622415004953        7.8190734297751321E-002
  0.28162052175595464        7.3793759435911960E-002
  0.29588180285700511        6.9354427259495324E-002
  0.30981007903350843        6.4891145756690194E-002
  0.32338510824503425        6.0422815500030320E-002
  0.33658636229827360        5.5968773972598362E-002
  0.34939299211025843        5.1548733842465264E-002
  0.36178379092142704        4.7182714760918620E-002
  0.37373715563449633        4.2890968271301649E-002
  0.38523104646209794        3.8693895442897426E-002
  0.39624294504769031        3.4611956894071365E-002
  0.40674981116324238        3.0665574948833766E-002
  0.41672803795634922        2.6875027792506716E-002
  0.42615340547485270        2.3260335672215044E-002
  0.43500103176587157        1.9841139452802734E-002
  0.44324532010396794        1.6636572231701202E-002
  0.45085989962898204        1.3665125312145998E-002
  0.45781755445668076        1.0944510770948067E-002
  0.46409013235600755        8.4915244061660039E-003
  0.46964841666353757        6.3219155859472404E-003
  0.47446193033684442        4.4502757681201570E-003
  0.47849860904053426        2.8899686256616554E-003
  0.48172420196283766        1.6531518651285053E-003
  0.48410103113068581        7.5102036040103630E-004
  0.48558484889545867        1.9471454447009200E-004
  0.48611111111111110        0.0000000000000000     
